VitenskapeligNavn;VitenskapeligNavnAutor;NorskNavn;VitenskapeligNavnHierarki;Taksnomisk nivå;Ekspertgruppe;Vurderingsområde;AndelAvEuropeisk populasjon;Kategori2021;Kriterier2021
Aegires incisus;(Sars G.O., 1872);;Animalia/Mollusca/Gastropoda/Nudibranchia/Aegiridae/Aegires/incisus;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;LC;
Agrenia riparia;Fjellberg, 1986;;Animalia/Arthropoda/Entognatha/Collembola/Isotomidae/Agrenia/riparia;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;LC;
Agrotis fatidica;(Hübner, 1824);fjelljordfly;Animalia/Arthropoda/Insecta/Lepidoptera/Noctuidae/Agrotis/fatidica;art;Sommerfugler;Fastlands-Norge med havområder;> 50 %;LC;
Alchemilla norvegica;Sam. ined.;norsk marikåpe;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Alchemilla/norvegica;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Alchemilla oleosa;Sam. ined.;oljemarikåpe;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Alchemilla/oleosa;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Alchemilla semidivisa;Ericsson;sunnmørsmarikåpe;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Alchemilla/semidivisa;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;B1a(i)b(iii)+2a(i)b(iii)
Amauronematus abnormis;(Holmgren, 1883);;Animalia/Arthropoda/Insecta/Hymenoptera/Tenthredinidae/Amauronematus/abnormis;art;Vepser;Fastlands-Norge med havområder;> 50 %;NT;B2a(i)b(ii,iii,iv,v)
Andreaea blyttii;Schimp.;bresotmose;Plantae/Bryophyta/Andreaeopsida/Andreaeales/Andreaeaceae/Andreaea/blyttii;art;Moser;Fastlands-Norge med havområder;> 50 %;VU;A3(c)
Anser erythropus;(Linnaeus, 1758);dverggås;Animalia/Chordata/Aves/Anseriformes/Anatidae/Anser/erythropus;art;Fugler (Norge);Fastlands-Norge med havområder;> 50 %;CR;D1
Anser serrirostris;Gould, 1852;tundrasædgås;Animalia/Chordata/Aves/Anseriformes/Anatidae/Anser/serrirostris;art;Fugler (Norge);Fastlands-Norge med havområder;> 50 %;VU;D1
Antennaria alpina;(L.) Gaertn.;fjellkattefot;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Antennaria/alpina;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Antennaria lapponica;Selander;lappkattefot;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Antennaria/lapponica;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;B2a((i))b(ii,iii,v)
Antennaria nordhageniana;Rune & Rønning;gaissakattefot;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Antennaria/nordhageniana;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;B2a(i)b(i,ii,iii,v)
Antennaria porsildii;E.Ekman;grønnkattefot;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Antennaria/porsildii;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;"A3(c,e); B2a((i))b(i,ii,iii,v)"
Anthus cervinus;(Pallas, 1811);lappiplerke;Animalia/Chordata/Aves/Passeriformes/Motacillidae/Anthus/cervinus;art;Fugler (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Anthus petrosus;(Montagu, 1798);skjærpiplerke;Animalia/Chordata/Aves/Passeriformes/Motacillidae/Anthus/petrosus;art;Fugler (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Anurida alpina;Agrell, 1939;;Animalia/Arthropoda/Entognatha/Collembola/Neanuridae/Anurida/alpina;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;LC;
Anurida polaris;(Hammer, 1954);;Animalia/Arthropoda/Entognatha/Collembola/Neanuridae/Anurida/polaris;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;LC;
Anurophorus fulvus;Fjellberg, 1988;;Animalia/Arthropoda/Entognatha/Collembola/Isotomidae/Anurophorus/fulvus;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;LC;
Aplidium mutabile;(M. Sars, 1851);amøbesekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Polyclinidae/Aplidium/mutabile;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Archisotoma megalops;Bagnall, 1939;;Animalia/Arthropoda/Entognatha/Collembola/Isotomidae/Archisotoma/megalops;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;LC;
Archisotoma quadrioculata;Fjellberg, 1988;;Animalia/Arthropoda/Entognatha/Collembola/Isotomidae/Archisotoma/quadrioculata;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;LC;
Archisotoma theae;Fjellberg, 1980;;Animalia/Arthropoda/Entognatha/Collembola/Isotomidae/Archisotoma/theae;art;Spretthaler;Fastlands-Norge med havområder;> 50 %;LC;
Arctagrostis latifolia;(R.Br.) Griseb.;russegras;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Arctagrostis/latifolia;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;A3(c,e)
Arenaria humifusa;Wahlenb.;dvergarve;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Caryophyllaceae/Arenaria/humifusa;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;B2a(i)b(i,ii,iii,v)
Arenaria interpres;(Linnaeus, 1758);steinvender;Animalia/Chordata/Aves/Charadriiformes/Scolopacidae/Arenaria/interpres;art;Fugler (Norge);Fastlands-Norge med havområder;> 50 %;NT;A2(a)
Arenaria pseudofrigida;(Ostenf. & O.C.Dahl) Juz. ex Schischk. & Knorring;kalkarve;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Caryophyllaceae/Arenaria/pseudofrigida;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;"A3(c,e); B1b(ii,iii,v)+2b(ii,iii,v)"
Aria obtusifolia;(DC.) Sennikov & Kurtto;norsk asal;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Aria/obtusifolia;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Aristias megalops;G. O. Sars, 1895;;Animalia/Arthropoda/Malacostraca/Amphipoda/Aristiidae/Aristias/megalops;art;Krepsdyr;Fastlands-Norge med havområder;> 50 %;LC;
Armeria scabra;Pall. ex Roem. & Schult.;sibirkoll;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Plumbaginaceae/Armeria/scabra;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;A3(c,e)
Arnica angustifolia;Vahl;smalsolblom;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Arnica/angustifolia;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;"A3(c,e); B2b(i,ii,iii,iv,v)"
Artemisia norvegica;Fr.;norsk malurt;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Artemisia/norvegica;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;"A3(c,e); B2a((i))b(ii,iii,iv,v)"
Arthothelium norvegicum;Coppins & Tønsberg;trønderflekklav;Fungi/Ascomycota/Arthoniomycetes/Arthoniales/Incertae sedis/Arthothelium/norvegicum;art;Laver;Fastlands-Norge med havområder;> 50 %;EN;C1
Artomyces cristatus;(Kauffman) Jülich;furutrompetkølle;Fungi/Basidiomycota/Agaricomycetes/Russulales/Auriscalpiaceae/Artomyces/cristatus;art;Sopper;Fastlands-Norge med havområder;> 50 %;EN;"B2a(i)b(iii,v); C2a(i)"
