norskNavn,group,simpleName
Buskskvett,groundNesters,Saxicola rubetra
Enkeltbekkasin,groundNesters,Gallinago gallinago
Fiskemåke,groundNesters,Larus canus
Gresshoppesanger,groundNesters,Locustella naevia
Gulspurv,groundNesters,Emberiza citrinella
Rødstilk,groundNesters,Tringa totanus
Sandlo,groundNesters,Charadrius hiaticula
Sanglerke,groundNesters,Alauda arvensis
Storspove,groundNesters,Numenius arquata
Svarthalespove,groundNesters,Limosa limosa
Tjeld,groundNesters,Haematopus ostralegus
Vaktel,groundNesters,Coturnix coturnix
Vipe,groundNesters,Vanellus vanellus
Åkerrikse,groundNesters,Crex crex
Boltit,waders,Eudromias morinellus
Brushane,waders,Calidris pugnax
Dobbeltbekkasin,waders,Gallinago media
Dverglo,waders,Charadrius dubius
Dvergsnipe,waders,Calidris minuta
Enkeltbekkasin,waders,Gallinago gallinago
Fjellmyrløper,waders,Calidris falcinellus
Fjæreplytt,waders,Calidris maritima
Gluttsnipe,waders,Tringa nebularia
Grønnstilk,waders,Tringa glareola
Heilo,waders,Pluvialis apricaria
Kvartbekkasin,waders,Lymnocryptes minimus
Lappspove,waders,Limosa lapponica
Myrsnipe,waders,Calidris alpina
Rugde,waders,Scolopax rusticola
Rødstilk,waders,Tringa totanus
Sandlo,waders,Charadrius hiaticula
Skogsnipe,waders,Tringa ochropus
Småspove,waders,Numenius phaeopus
Sotsnipe,waders,Tringa erythropus
Steinvender,waders,Arenaria interpres
Storspove,waders,Numenius arquata
Strandsnipe,waders,Actitis hypoleucos
Svarthalespove,waders,Limosa limosa
Temmincksnipe,waders,Calidris temminckii
Tjeld,waders,Haematopus ostralegus
Vipe,waders,Vanellus vanellus
1,woodpeckers,Picus viridis
2,woodpeckers,Dendrocopos leucotos
3,woodpeckers,Dryobates minor
4,woodpeckers,Picus canus
5,woodpeckers,Dendrocopos major
6,woodpeckers,Dryocopus martius
7,woodpeckers,Picoides tridactylus
8,woodpeckers,Jynx torquilla
9,woodpeckers,Dendrocoptes medius
