corineCategory,newCategory
Continuous urban fabric,Built up area
Discontinuous urban fabric,Built up area
Industrial or commercial units,Built up area
Road and rail networks and associated land,Built up area
Port areas,Built up area
Airports,Built up area
Mineral extraction sites,Built up area
Dump sites,Built up area
Construction sites,Built up area
Green urban areas,Built up area
Sport and leisure facilities,Built up area
Non-irrigated arable land,Agro-forestry areas
Permanently irrigated land,Agro-forestry areas
Rice fields,Agro-forestry areas
Vineyards,Agro-forestry areas
Fruit trees and berry plantations,Agro-forestry areas
Olive groves,Agro-forestry areas
Pastures,Constructed green space
Annual crops associated with permanent crops,Constructed green space
Complex cultivation patterns,Agro-forestry areas
Land principally occupied by agriculture with significant areas of natural vegetation,Agro-forestry areas
Agro-forestry areas,Agro-forestry areas
Broad-leaved forest,Broad-leaved forest
Coniferous forest,Coniferous forest
Mixed forest,Mixed forest
Natural grasslands,Natural grasslands
Moors and heathland,Moors and heathland
Sclerophyllous vegetation,Sclerophyllous vegetation
Transitional woodland-shrub,Transitional woodland-shrub
Beaches dunes sands,Bare rocks
Bare rocks,Bare rocks
Sparsely vegetated areas,Bare rocks
Burnt areas,Bare rocks
Glaciers and perpetual snow,Glaciers and perpetual snow
Inland marshes,Marsh/bog/fen
Peat bogs,Marsh/bog/fen
Salt marshes,Marsh/bog/fen
Salines,Water bodies
Intertidal flats,Water bodies
Water courses,Water bodies
Water bodies,Water bodies
Coastal lagoons,Water bodies
Estuaries,Water bodies
Sea and ocean,Water bodies
