parameters,full.name,source,external,update,dataSource,asCovariate,quadratic,changeComponents,bias, categorical,temporal,reclassFile
aspect,aspect,Norwegian Mapping Authority (DMT 10m),TRUE,FALSE,geonorge,TRUE,FALSE,,FALSE,FALSE,FALSE,
easting,aspect (easting),Norwegian Mapping Authority (DMT 10m),TRUE,FALSE,geonorge,TRUE,FALSE,,FALSE,FALSE,FALSE,
northing,aspect (northing,Norwegian Mapping Authority (DMT 10m),TRUE,FALSE,geonorge,TRUE,FALSE,,FALSE,FALSE,FALSE,
elevation,elevation,Norwegian Mapping Authority (DMT 10m),TRUE,FALSE,geonorge,TRUE,FALSE,,FALSE,FALSE,FALSE,
precipitation,precipitation,WorldClim,FALSE,FALSE,worldclim,TRUE,FALSE,,FALSE,FALSE,FALSE,
slope,slope,Norwegian Mapping Authority (DMT 10m),TRUE,FALSE,geonorge,TRUE,FALSE,,FALSE,FALSE,FALSE,
temperature,temperature,WorldClim,FALSE,FALSE,worldclim,TRUE,FALSE,,FALSE,FALSE,FALSE,
human_density,human density,Statistics Norway (SSB),TRUE,FALSE,ssb,TRUE,FALSE,,FALSE,FALSE,FALSE,
building_density,building density,Statistics Norway (SSB),FALSE,FALSE,ssb,TRUE,FALSE,,FALSE,FALSE,FALSE,
net_primary_productivity,net primary productivity,MODIS,TRUE,FALSE,modis,TRUE,FALSE,,FALSE,FALSE,FALSE,
land_cover_corine,land cover,Corine,TRUE,FALSE,corine,TRUE,FALSE,,FALSE,TRUE,TRUE,data/external/corineReclassification.csv
ndvi_peak,peak NDVI,MODIS,TRUE,FALSE,modis,TRUE,FALSE,,FALSE,FALSE,FALSE,
distance_water,distance to water,Norwegian Mapping Authority (N250 map data),TRUE,FALSE,geonorge,TRUE,FALSE,,FALSE,FALSE,FALSE,
snow_cover,snow cover,Chelsa,TRUE,FALSE,chelsa,TRUE,FALSE,,FALSE,FALSE,FALSE,
distance_roads,distance to roads,Norwegian Mapping Authority (N250 map data),TRUE,FALSE,geonorge,FALSE,FALSE,,TRUE,FALSE,FALSE,
forest_line,forest line,Nibio,TRUE,FALSE,nibio,TRUE,FALSE,,FALSE,FALSE,FALSE,
kalkinnhold,calcium content,Norwegian Species Database (Artsdatabanken),TRUE,FALSE,artsdatabanken,TRUE,FALSE,,FALSE,TRUE,FALSE,data/external/kalkinnholdReclassification.csv
losmasse,soil coarseness,ngu,TRUE,FALSE,ngu,TRUE,FALSE,,FALSE,FALSE,FALSE,
summer_precipitation,summer precipitation,Norwegian Meteorological Institute,TRUE,FALSE,met,TRUE,TRUE,"model = 'clinear', range = c(-10, 0)",FALSE,FALSE,FALSE,
summer_temperature,summer temperature,Norwegian Meteorological Institute,TRUE,FALSE,met,TRUE,TRUE,"model = 'clinear', range = c(-10, 0)",FALSE,FALSE,TRUE,
habitat_heterogeneity,habitat heterogeneity,Corine,TRUE,FALSE,corine,TRUE,FALSE,,FALSE,FALSE,FALSE,
cs_density,citizen science sampling density,GBIF,TRUE,FALSE,gbif,TRUE,FALSE,,FALSE,FALSE,TRUE,
density_water,waterbody density,Norwegian Mapping Authority (N250 map data),TRUE,FALSE,geonorge,TRUE,FALSE,,FALSE,FALSE,FALSE,
density_roads,road density,Norwegian Mapping Authority (N250 map data),TRUE,FALSE,geonorge,FALSE,FALSE,,TRUE,FALSE,FALSE,
