taxa,key,level,scientificName,include,functionalGroup,predictionDataset
amphibiansReptiles,11592253,class,Squamata,FALSE,,
amphibiansReptiles,131,class,Amphibia,FALSE,,
spiders,367,class,Arachnida,FALSE,,
beetles,1470,order,Coleoptera,FALSE,,NationalinsectmonitoringinNorway
cockroaches,800,order,Blattodea,FALSE,,NationalinsectmonitoringinNorway
snakeflies,786,order,Raphidioptera,FALSE,,NationalinsectmonitoringinNorway
scorpionflies,1000,order,Mecoptera,FALSE,,NationalinsectmonitoringinNorway
bugs,809,order,Hemiptera,FALSE,,NationalinsectmonitoringinNorway
netWingedInsects,1501,order,Neuroptera,FALSE,,NationalinsectmonitoringinNorway
grasshopperLikeInsects,1458,order,Orthoptera,FALSE,,NationalinsectmonitoringinNorway
earwigs,1224,order,Dermaptera,FALSE,,NationalinsectmonitoringinNorway
butterfliesMoths,797,order,Lepidoptera,FALSE,,NationalinsectmonitoringinNorway
flies,811,order,Diptera,FALSE,,NationalinsectmonitoringinNorway
hymenopterans,1457,order,Hymenoptera,FALSE,,NationalinsectmonitoringinNorway
aquaticInsects,1225,order,Ephemeroptera,FALSE,,NationalinsectmonitoringinNorway
aquaticInsects,1003,order,Tricoptera,FALSE,,NationalinsectmonitoringinNorway
aquaticInsects,787,order,Plecoptera,FALSE,,NationalinsectmonitoringinNorway
aquaticInsects,789,order,Odonata,FALSE,,NationalinsectmonitoringinNorway
aquaticInsects,1451,order,Megaloptera,FALSE,,NationalinsectmonitoringinNorway
vascularPlants,7707728,phylum,Tracheophyta,TRUE,,ANOData
mosses,35,phylum,Bryophyta,FALSE,,
mammals,803,order,Soricomorpha,FALSE,,
mammals,785,order,Lagomorpha,FALSE,,
mammals,1459,order,Rodentia,FALSE,,
mammals,829,order,Erinaceomorpha,FALSE,,
mammals,5307,family,Mustelidae,FALSE,,
fungi,5,kingdom,Fungi,FALSE,,
lichens,NA,polyphyla,Lichens,FALSE,,
groundNestingBirds,NA,polyphyla,Ground-Nesting Birds,FALSE,,
woodpeckers,9333,family,Picidae,FALSE,,
birds,212,class,Aves,FALSE,,
bats,734,order,Chiroptera,FALSE,,
