"acceptedScientificName","taxa"
"Absconditella annexa (Arnold) Vĕzda","lichens"
"Absconditella delutula (Nyl.) Coppins & H.Kilias","lichens"
"Absconditella sphagnorum Vĕzda & Poelt","lichens"
"Absconditella trivialis (Willey ex Tuck.) Vĕzda","lichens"
"Acarospora amphibola Wedd.","lichens"
"Acarospora atrata Hue","lichens"
"Acarospora badiofusca (Nyl.) Th.Fr.","lichens"
"Acarospora brunneola H.Magn.","lichens"
"Acarospora cervina A.Massal.","lichens"
"Acarospora discreta (Ach.) Arnold","lichens"
"Acarospora fuscata (Ach.) Arnold","lichens"
"Acarospora glaucocarpa (Ach.) Körb.","lichens"
"Acarospora heppii Nägeli ex Körb.","lichens"
"Acarospora hospitans H.Magn.","lichens"
"Acarospora impressula Th.Fr.","lichens"
"Acarospora insolata H.Magn.","lichens"
"Acarospora intricata H.Magn.","lichens"
"Acarospora macrospora A.Massal. ex Bagl.","lichens"
"Acarospora molybdina (Wahlenb.) Trevis.","lichens"
"Acarospora nitrophila H.Magn.","lichens"
"Acarospora normanii H.Magn.","lichens"
"Acarospora oligospora (Nyl.) Arnold","lichens"
"Acarospora peliscypha Th.Fr.","lichens"
"Acarospora praeruptorum H.Magn.","lichens"
"Acarospora rhizobola (Nyl.) Alstrup","lichens"
"Acarospora rosulata (Th.Fr.) H.Magn.","lichens"
"Acarospora rugulosa Körb.","lichens"
"Acarospora scabrida Hedl. ex H.Magn.","lichens"
"Acarospora scrobiculata H.Magn.","lichens"
"Acarospora scyphulifera Vain.","lichens"
"Acarospora sinopica (Wahlenb.) Körb.","lichens"
"Acarospora smaragdula (Wahlenb. ex Ach.) A.Massal.","lichens"
"Acarospora umbilicata Bagl.","lichens"
"Acarospora veronensis A.Massal.","lichens"
"Acarospora verruciformis H.Magn.","lichens"
"Acarospora wahlenbergii H.Magn., 1929","lichens"
"Acrocordia cavata (Ach.) R.C.Harris","lichens"
"Acrocordia conoidea (Fr.) Körb.","lichens"
"Acrocordia gemmata (Ach.) A.Massal.","lichens"
"Acrocordia macrospora A.Massal.","lichens"
"Acrocordia salweyi (Leight. ex Nyl.) A.L.Sm.","lichens"
"Adelolecia kolaënsis (Nyl.) Hertel & Rambold","lichens"
"Adelolecia pilati (Hepp) Hertel & Hafellner","lichens"
"Agonimia allobata (Stizenb.) P.James","lichens"
"Agonimia tristicula (Nyl.) Zahlbr.","lichens"
"Alectoria nigricans (Ach.) Nyl.","lichens"
"Alectoria ochroleuca (Schrank) A.Massal.","lichens"
"Alectoria sarmentosa (Ach.) Ach.","lichens"
"Allantoparmelia alpicola (Th.Fr.) Essl.","lichens"
"Amandinea coniops (Wahlenb.) M.Choisy ex Scheid. & H.Mayrhofer","lichens"
"Amandinea lecideina (H.Mayrhofer & Poelt) Scheid. & H.Mayrhofer","lichens"
"Amandinea punctata (Hoffm.) Coppins & Scheid.","lichens"
"Amygdalaria consentiens (Nyl.) Hertel, Brodo & Mas.Inoue","lichens"
"Amygdalaria elegantior (H.Magn.) Hertel & Brodo","lichens"
"Amygdalaria panaeola (Ach.) Hertel & Brodo","lichens"
"Amygdalaria pelobotryon (Wahlenb. ex Ach.) Norman","lichens"
"Anaptychia ciliaris (L.) Körb.","lichens"
"Anaptychia runcinata (With.) J.R.Laundon","lichens"
"Anema cernohorskyi (Servít) Henssen","lichens"
"Anema decipiens (A.Massal.) Forssell","lichens"
"Anema notarisii (A.Massal.) Forssell","lichens"
"Anisomeridium biforme (Schaer.) R.C.Harris","lichens"
"Anisomeridium nyssaegenum (Ellis & Everh.) R.C.Harris","lichens"
"Anzina carneonivea (Anzi) Scheid.","lichens"
"Arctocetraria andrejevii (Oxner) Kärnefelt & A.Thell","lichens"
"Arctomia delicatula Th.Fr.","lichens"
"Arctomia interfixa (Nyl.) Vain.","lichens"
"Arctoparmelia centrifuga (L.) Hale","lichens"
"Arctoparmelia incurva (Pers.) Hale","lichens"
"Arthonia apatetica (A.Massal.) Th.Fr.","lichens"
"Arthonia arthonioides (Ach.) A.L.Sm.","lichens"
"Arthonia cinnabarina (DC.) Wallr.","lichens"
"Arthonia didyma Körb.","lichens"
"Arthonia dispersa (Schrad.) Nyl.","lichens"
"Arthonia dispuncta Nyl.","lichens"
"Arthonia excipienda (Nyl.) Leight.","lichens"
"Arthonia ilicina Taylor","lichens"
"Arthonia lapidicola (Taylor) Branth & Rostr.","lichens"
"Arthonia leucopellaea (Ach.) Almq.","lichens"
"Arthonia mediella Nyl.","lichens"
"Arthonia muscigena Th.Fr.","lichens"
"Arthonia patellulata Nyl.","lichens"
"Arthonia phaeobaea (Norman) Norman","lichens"
"Arthonia punctiformis Ach.","lichens"
"Arthonia radiata (Pers.) Ach.","lichens"
"Arthonia spadicea Leight.","lichens"
"Arthonia stellaris Kremp.","lichens"
"Arthonia tenellula Nyl.","lichens"
"Arthonia vinosa Leight.","lichens"
"Arthopyrenia antecellans (Nyl.) Arnold","lichens"
"Arthopyrenia atomariella (Nyl.) Hulting","lichens"
"Arthopyrenia cerasi (Schrad.) A.Massal.","lichens"
"Arthopyrenia cinereopruinosa (Schaer.) A.Massal.","lichens"
"Arthopyrenia didymelloides Zahlbr.","lichens"
"Arthopyrenia fraxini A.Massal.","lichens"
"Arthopyrenia lapponina Anzi","lichens"
"Arthopyrenia punctiformis (Pers.) A.Massal.","lichens"
"Arthopyrenia ranunculospora Coppins & P.James","lichens"
"Arthopyrenia rhyponta (Ach.) A.Massal.","lichens"
"Arthopyrenia salicis A.Massal.","lichens"
"Arthopyrenia stenospora Körb.","lichens"
"Arthothelium norvegicum Coppins & Tønsberg","lichens"
"Arthothelium ruanum (A.Massal.) Körb.","lichens"
"Arthrorhaphis alpina (Schaer.) R.Sant.","lichens"
"Arthrorhaphis citrinella (Ach.) Poelt","lichens"
"Arthrorhaphis fuscireagens (Vainio) Poelt","lichens"
"Arthrorhaphis grisea Th.Fr.","lichens"
"Arthrorhaphis vacillans Th.Fr. & Almq. ex Th.Fr.","lichens"
"Arthrosporum populorum A.Massal.","lichens"
"Asahinea chrysantha (Tuck.) W.L.Culb. & C.F.Culb.","lichens"
"Aspicilia alexandri R.Sant.","lichens"
"Aspicilia aquatica (Fr.) Körb.","lichens"
"Aspicilia arctica (Lynge) Oxner","lichens"
"Aspicilia aspicilioidea (Th.Fr.) R.Sant.","lichens"
"Aspicilia caesiocinerea (Nyl. ex Malbr.) Arnold","lichens"
"Aspicilia caesiopruinosa (H.Magn.) J.W.Thomson","lichens"
"Aspicilia calcarea (L.) Mudd","lichens"
"Aspicilia cinerea (L.) Körb.","lichens"
"Aspicilia contorta (Hoffm.) Kremp.","lichens"
"Aspicilia cupreogrisea (Th.Fr.) Hue","lichens"
"Aspicilia curvabilis (Nyl.) Hue","lichens"
"Aspicilia epiglypta (Norrl. ex Nyl.) Hue","lichens"
"Aspicilia gibbosa (Ach.) Körb.","lichens"
"Aspicilia inconspicua (H.Magn.) Räsänen","lichens"
"Aspicilia indissimilis (H.Magn.) Räsänen","lichens"
"Aspicilia insolata (H.Magn.) Hav.","lichens"
"Aspicilia karelica (H.Magn.) Oxner","lichens"
"Aspicilia laevata (Ach.) Arnold","lichens"
"Aspicilia laevatoides (H.Magn.) Oxner","lichens"
"Aspicilia laxula (H.Magn.) Brodo","lichens"
"Aspicilia lecideoidea Hue","lichens"
"Aspicilia leprosescens (Sandst.) Havaas, 1918","lichens"
"Aspicilia malmeana (H.Magn.) Ozenda & Clauzade","lichens"
"Aspicilia mashiginensis (Zahlbr.) Oxner","lichens"
"Aspicilia mastrucata (Wahlenb.) Th.Fr.","lichens"
"Aspicilia mazarina (Wahlenb.) R.Sant.","lichens"
"Aspicilia moenium (Vain.) G.Thor & Timdal","lichens"
"Aspicilia montana (H.Magn.) Hav.","lichens"
"Aspicilia multipunctata (Vain.)","lichens"
"Aspicilia myrinii (Fr.) Stein","lichens"
"Aspicilia nordlandica (H.Magn.) Degel.","lichens"
"Aspicilia obscurascens (H.Magn.) Clauzade & Rondon","lichens"
"Aspicilia obscurata (Fr.) Arnold","lichens"
"Aspicilia pergibbosa (H.Magn.) Räsänen","lichens"
"Aspicilia polychroma Anzi","lichens"
"Aspicilia praeruptorum (H.Magn.) R.Sant.","lichens"
"Aspicilia recedens (Taylor) Arnold","lichens"
"Aspicilia rivulicola (H.Magn.) Räsänen","lichens"
"Aspicilia scabrida (Degel.) R.Sant.","lichens"
"Aspicilia simoensis Räsänen","lichens"
"Aspicilia subarctica (H.Magn.) Creveld","lichens"
"Aspicilia supertegens Arnold","lichens"
"Aspicilia tromsoeënsis (H.Magn.) Räsänen","lichens"
"Aspicilia verrucigera Hue","lichens"
"Aspicilia virginea Hue","lichens"
"Aspicilia waldrastensis (H.Magn.) Clauzade & Rondon","lichens"
"Bacidia absistens (Nyl.) Arnold","lichens"
"Bacidia arceutina (Ach.) Arnold","lichens"
"Bacidia assulata (Körb.) Vĕzda","lichens"
"Bacidia bagliettoana (A.Massal. & De Not.) Jatta","lichens"
"Bacidia beckhausii Körb.","lichens"
"Bacidia biatorina (Körb.) Vain.","lichens"
"Bacidia caligans (Nyl.) A.L.Sm.","lichens"
"Bacidia circumspecta (Norrl. & Nyl.) Malme","lichens"
"Bacidia globulosa (Flörke) Hafellner & V.Wirth","lichens"
"Bacidia hegetschweileri (Hepp) Vain.","lichens"
"Bacidia herbarum (Stizenb.) Arnold","lichens"
"Bacidia igniarii (Nyl.) Oxner","lichens"
"Bacidia illudens (Nyl.) Lynge","lichens"
"Bacidia inundata (Fr.) Körb.","lichens"
"Bacidia laurocerasi (Delise ex Duby) Zahlbr.","lichens"
"Bacidia luridoglaucella Vain.","lichens"
"Bacidia lyngeana Erichsen","lichens"
"Bacidia naegelii (Hepp) Zahlbr.","lichens"
"Bacidia phacodes Körb.","lichens"
"Bacidia rosella (Pers.) De Not.","lichens"
"Bacidia rubella (Hoffm.) A.Massal.","lichens"
"Bacidia scopulicola (Nyl.) A.L.Sm.","lichens"
"Bacidia subacerina Vain.","lichens"
"Bacidia subarctoa Th.Fr.","lichens"
"Bacidia subfuscula (Nyl.) Th.Fr.","lichens"
"Bacidia subincompta (Nyl.) Arnold","lichens"
"Bacidia trachona (Ach.) Lettau","lichens"
"Bacidia verecundula (Th.Fr.) H.Magn.","lichens"
"Bacidia viridifarinosa Coppins & P.James","lichens"
"Bactrospora corticola (Fr. ex Nyl.) Almq.","lichens"
"Bactrospora homalotropa (Nyl.) Egea & Torrente","lichens"
"Baeomyces carneus Flörke","lichens"
"Baeomyces placophyllus Ach.","lichens"
"Baeomyces rufus (Huds.) Rebent.","lichens"
"Bagliettoa parmigera (J.Steiner) Vĕzda & Poelt","lichens"
"Bellemerea alpina (Sommerf.) Clauzade & Cl.Roux","lichens"
"Bellemerea cinereorufescens (Ach.) Clauzade & Cl.Roux","lichens"
"Bellemerea diamarta (Ach.) Hafellner & Cl.Roux","lichens"
"Bellemerea subsorediza (Lynge ex E.Dahl) R.Sant.","lichens"
"Belonia incarnata Th.Fr. & Graewe","lichens"
"Belonia nidarosiensis (Kindt) P.M.Jørg. & Vĕzda","lichens"
"Belonia russula Körb. ex Nyl.","lichens"
"Biatora albohyalina (Nyl.) Bagl. & Carestia","lichens"
"Biatora carneoalbida (Müll.Arg.) Coppins","lichens"
"Biatora chrysantha (Zahlbr.) Printzen","lichens"
"Biatora cuprea (Sommerf.) Fr.","lichens"
"Biatora efflorescens (Hedl.) Räsänen","lichens"
"Biatora epixanthoides (Nyl.) Diederich","lichens"
"Biatora fallax Hepp","lichens"
"Biatora flavopunctata (Tønsberg) Hinter. & Printzen","lichens"
"Biatora helvola Körb. ex Hellb.","lichens"
"Biatora meiocarpa (Nyl.) Arnold","lichens"
"Biatora ocelliformis (Nyl.) Arnold","lichens"
"Biatora pallens (Kullh.) Zahlbr.","lichens"
