id	basisOfRecord	occurrenceID	recordedBy	organismQuantity	organismQuantityType	eventID	identifiedBy	scientificName	kingdom	vernacularName
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	453d8081-8620-4cda-905f-33a25aae7374	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	vaccinium vitis-idaea	Plantae	bm: tyttebær
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	d579f092-23ae-4c3c-b8e0-d2e7865bb8e3	Ellen Johanne Svalheim | Kristin Daugstad	1 - 6,25 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	avenella flexuosa	Plantae	bm: smyle
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	35767f48-a79b-427a-9c9e-bf25330578f8	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	lysimachia europaea	Plantae	bm: skogstjerne
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	bec0b121-d6eb-4d09-9627-b986169c055b	Ellen Johanne Svalheim | Kristin Daugstad	1 - 6,25 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	juniperus communis	Plantae	bm: einer
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	bd449bdc-8165-4efe-821d-be2b7f5f1fbd	Ellen Johanne Svalheim | Kristin Daugstad	1 - 6,25 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	vaccinium myrtillus	Plantae	bm: blåbær
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	2c3508da-78b6-4bc6-ab2e-9a07fc0e072c	Ellen Johanne Svalheim | Kristin Daugstad	12,5 - 25 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	nardus stricta	Plantae	bm: finnskjegg
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	565853a7-459f-4acd-9195-384eb57221dc	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	vaccinium uliginosum	Plantae	bm: blokkebær
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	fd43160e-cee4-41a4-8deb-a85ed53acef5	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	picea abies	Plantae	bm: gran
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	0f591b91-f7c7-45f3-895d-c7d296052cc1	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	bistorta vivipara	Plantae	bm: harerug
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	50293aa7-e392-4ba3-8eda-f051eb326a36	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	anthoxanthum nipponicum	Plantae	bm: fjellgulaks
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	da38596d-2b73-4cf0-ac5c-b6dac69dc3fd	Ellen Johanne Svalheim | Kristin Daugstad	1 - 6,25 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	festuca rubra	Plantae	bm: rødsvingel
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	82dd1f81-363b-4f48-921e-851f8e45e3e4	Ellen Johanne Svalheim | Kristin Daugstad	1 - 6,25 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	ranunculus acris	Plantae	bm: engsoleie
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	816d5baf-a64c-497b-a96f-05affaaf1a70	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	phleum alpinum	Plantae	bm: fjelltimotei
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	50a1bd2c-6a68-45d9-8f87-ed2604249814	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	carex panicea	Plantae	bm: kornstarr
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	46ea9bd2-3c82-43fc-9548-3b3d24522371	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	potentilla erecta	Plantae	bm: tepperot
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	a753a254-8dc7-4735-b136-6369dfff26f5	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	achillea millefolium	Plantae	bm: ryllik
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	d155cf1e-458e-4c83-8392-6f272d83aa9b	Ellen Johanne Svalheim | Kristin Daugstad	1 - 6,25 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	alchemilla alpina	Plantae	bm: fjellmarikåpe
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	f36e5695-cc5c-43b9-a76e-7036bbc04aba	Ellen Johanne Svalheim | Kristin Daugstad	25-50 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	deschampsia cespitosa	Plantae	bm: sølvbunke
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	e0f6356a-0dff-47af-a198-9ecdf4a2f57d	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	potentilla crantzii	Plantae	bm: flekkmure
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	b2240910-4945-4513-815d-b232a6ed4be6	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	geum rivale	Plantae	bm: enghumleblom
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	fd7feaec-71cc-4b96-adba-8f7c2c155070	Ellen Johanne Svalheim | Kristin Daugstad	1 - 6,25 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	geranium sylvaticum	Plantae	bm: skogstorkenebb
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	cd74d3b2-336f-44a4-9c39-b84353682283	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	myosotis decumbens	Plantae	bm: fjellforglemmegei
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	fde359e5-d2f0-4cbf-993e-efbbe192c4ea	Ellen Johanne Svalheim | Kristin Daugstad	6,25 - 12,5 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	alchemilla monticola	Plantae	bm: beitemarikåpe
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	b529e9ca-a050-4e43-a1dd-da48e9c78d47	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	luzula multiflora	Plantae	bm: seterfrytle
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	f53c265e-a550-4268-8bd5-79d018ee6dc8	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	poa alpina	Plantae	bm: fjellrapp
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	b174790c-4305-4190-820a-f7f2b1172659	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	carex bigelowii	Plantae	bm: stivstarr
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	75a44497-0d52-495d-9a4b-ceb5e8717162	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	salix herbacea	Plantae	bm: musøre
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	3b5b78c6-7bc9-464b-8aa7-86ffa3e51091	Ellen Johanne Svalheim | Kristin Daugstad	6,25 - 12,5 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	agrostis capillaris	Plantae	bm: engkvein
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	68c4a4e7-04ab-4e78-9d32-bfbf03a30d66	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	veronica alpina	Plantae	bm: fjellveronika
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	61a338f1-4e1e-40d5-bd6d-ca426d949feb	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	silene vulgaris	Plantae	bm: engsmelle
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	899cb035-1de2-47ba-83e8-77ff7ae3f338	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	dactylis glomerata	Plantae	bm: hundegras
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	166d9497-584a-400e-a001-064a383dac82	Ellen Johanne Svalheim | Kristin Daugstad	1 - 6,25 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	trifolium repens	Plantae	bm: hvitkløver
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	ea4adb77-d7d4-4586-8301-46a27b61ea2e	Ellen Johanne Svalheim | Kristin Daugstad	1 - 6,25 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	galium uliginosum	Plantae	bm: sumpmaure
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	deb1ba35-ad05-4d9c-a93e-f45c50c2233b	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	antennaria dioica	Plantae	bm: kattefot
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	7206605f-ccf6-4f1f-825b-5069a3084a2d	Ellen Johanne Svalheim | Kristin Daugstad	6,25 - 12,5 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	alchemilla wichurae	Plantae	bm: skarmarikåpe
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	054dda76-6ed4-433f-aeb8-b57bc3e474db	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	pilosella lactucella	Plantae	bm: aurikkelsveve
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	639bb6bb-e4c6-4576-93af-461a2b46e3dc	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	taraxacum crocea	Plantae	bm: fjelløvetenner
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	4afea658-fe90-413b-b753-7ea0647a1b92	Ellen Johanne Svalheim | Kristin Daugstad	1 - 6,25 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	salix glauca	Plantae	bm: sølvvier
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	8cbe123e-6110-43a5-8148-22016f8e30ab	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	rumex acetosa	Plantae	bm: engsyre
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	9be586a9-e681-4624-b1b0-5b5f54a0c138	Ellen Johanne Svalheim | Kristin Daugstad	1 - 6,25 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	aconitum septentrionale	Plantae	bm: tyrihjelm
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	5d6d74f0-4f44-4edb-8fb5-8f6ba0567afa	Ellen Johanne Svalheim | Kristin Daugstad	1 - 6,25 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	carum carvi	Plantae	bm: karve
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	2dc9368a-7a7f-4460-8486-f876d7e1b4df	Ellen Johanne Svalheim | Kristin Daugstad	6,25 - 12,5 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	urtica dioica	Plantae	bm: stornesle
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	3a78072b-a413-4c49-91f5-2daab937a958	Ellen Johanne Svalheim | Kristin Daugstad	1 - 6,25 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	rumex longifolius	Plantae	bm: høymol
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	0d00a1f8-ce86-40c5-8546-552c639773b3	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	stellaria media	Plantae	bm: vassarve
f599d71b-f897-4f20-b1d1-d9f901690f65	HumanObservation	d55c406f-2558-4746-8cfd-9d49f67b2e67	Ellen Johanne Svalheim | Kristin Daugstad	< 1 % dekning	karplantedekning	f599d71b-f897-4f20-b1d1-d9f901690f65	Ellen Johanne Svalheim | Kristin Daugstad	veronica chamaedrys	Plantae	bm: tveskjeggveronika
