"taxa","key","level","scientificName","include"
"amphibiansReptiles",11592253,"class","Squamata",TRUE
"amphibiansReptiles",131,"class","Amphibia",TRUE
"spiders",367,"class","Arachnida",FALSE
"beetles",1470,"order","Coleoptera",FALSE
"mayflies",1225,"order","Ephemeroptera",FALSE
"cockroaches",800,"order","Blattodea",FALSE
"snakeflies",786,"order","Raphidioptera",FALSE
"megaloptera",1451,"order","Megaloptera",FALSE
"scorpionflies",1000,"order","Mecoptera",FALSE
"bugs",809,"order","Hemiptera",FALSE
"netWingedInsects",1501,"order","Neuroptera",FALSE
"grasshopperLikeInsects",1458,"order","Orthoptera",FALSE
"earwigs",1224,"order","Dermaptera",FALSE
"butterfliesMoths",797,"order","Lepidoptera",FALSE
"stoneflies",787,"order","Plecoptera",FALSE
"flies",811,"order","Diptera",TRUE
"hymenopterans",1457,"order","Hymenoptera",FALSE
"caddislflies",1003,"order","Tricoptera",FALSE
"dragonflies",789,"order","Odonata",TRUE
"vascularPlants",7707728,"phylum","Tracheophyta",FALSE
"mosses",35,"phylum","Bryophyta",FALSE
"mammals",359,"class","Mammalia",TRUE
"fungi",5,"kingdom","Fungi",FALSE
"lichens",NA,"polyphyla","Lichens",FALSE
"groundNestingBirds",NA,"polyphyla","Ground-Nesting Birds",FALSE
"birds",212,"class","Birds",FALSE
