"datasetKey","name","processing","biased"
"b124e1e0-4755-430f-9eab-894f25a9b59c","Norwegian Species Observation Service","presenceOnly",TRUE
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist Research-grade Observations","presenceOnly",TRUE
"d29d79fd-2dc4-4ef5-89b8-cdf66994de0d","Vascular plant herbarium TRH, NTNU University Museum","presenceOnly",FALSE
"09c38deb-8674-446e-8be8-3347f6c094ef","Jordal","presenceOnly",FALSE
"f06ed729-104f-4e51-9db3-dfd9b228a1be","Vascular plant field notes, NTNU University Museum","fieldNotesEvent",FALSE
"e45c7d91-81c6-4455-86e3-2965a5739b1f","Vascular Plant Herbarium, Oslo (O) UiO","presenceOnly",FALSE
"38b4c89f-584c-41bb-bd8f-cd1def33e92f","Artportalen (Swedish Species Observation System)","presenceOnly",TRUE
"6ac3f774-d9fb-4796-b3e9-92bf6c81c084","naturgucker","presenceOnly",FALSE
"d34ed8a4-d3cb-473c-a11c-79c5fec4d649","Vascular Plants, Field notes, Oslo (O)","fieldNotesOslo",FALSE
"b629d029-4243-4dce-a384-31864debda48","Overvåking av semi-naturlig eng (ASO)","fieldNotesEvent",FALSE
"8a863029-f435-446a-821e-275f4f641165","Observation.org, Nature data from around the World","presenceOnly",FALSE
"4db619a6-9429-4bef-90c9-06cc90c39552","Vascular Plant Herbarium, UiB","presenceOnly",FALSE
"78c1a71e-abb2-49cf-abc8-efafb981b0e4","Lichen herbarium TRH, NTNU University Museum","presenceOnly",FALSE
"7948250c-6958-4a29-a670-ed1015b26252","Lichen herbarium, Oslo (O) UiO","presenceOnly",FALSE
"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1","Lichen herbarium, UiB","presenceOnly",FALSE
"d74d5b23-922d-40ff-9120-eb742d1d66f6","Lichen field notes, Oslo (O)","fieldNotesOslo",FALSE
"e4deab67-0998-4140-b573-0ba1f624eb3e","Fungarium, Oslo (O) UiO","presenceOnly",FALSE
"7eb54e10-fd36-4139-8764-1fd8abc2bd67","Mycology herbarium TRH, NTNU University Museum","presenceOnly",FALSE
"695de7d9-e608-49fd-8fe2-dafb59810784","Fungi field notes, Oslo (O)","fieldNotesOslo",FALSE
"19fe96b0-0cf3-4a2e-90a5-7c1c19ac94ee","National insect monitoring in Norway","insectMonitoring",FALSE
"1bec5de3-758c-4ed2-ab13-1597601ad07a","Terrestrial and limnic invertebrates systematic collection, NTNU University Museum","presenceOnly",FALSE
"346a9b13-5c96-4793-bcd7-d6614950e726","NINA insect database","presenceOnly",FALSE
"26f5b360-8770-4d54-9c2d-397798a5e513","Entomology, Oslo (O) UiO","presenceOnly",FALSE
"2d4d4edb-4a78-4855-909e-56dd4c6dfe38","Coleoptera, NEF","presenceOnly",FALSE
"0efbb3b3-6473-414a-af91-cdbcbcd8aba1","Vascular Plants, Field notes, Agder naturmuseum (KMN)","fieldNotesOslo",FALSE
"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14","Biofokus","presenceOnly",FALSE
"d0aa984e-c6d3-45ee-8fc0-df1df8f4126b","Vascular plant herbarium, The Arctic University Museum of Norway (TROM)","presenceOnly",FALSE
"88ea9eca-96ad-4a5a-8a01-99a4acabe050","Vascular Plants, Observations, Oslo (O)","fieldNotesOslo",FALSE
"30bc94f2-50aa-4688-8e87-a8e11d3d69ff","Vascular plant herbarium (KMN) UiA","presenceOnly",FALSE
"33591b80-0e31-480c-82ce-2f57211b10e6","Freshwater benthic invertebrates ecological collection NTNU University Museum","fieldNotesEvent",FALSE
"6ce9819a-d82b-41e1-9059-0dd201f15993","Entomological collections, UiB","presenceOnly",FALSE
"edd9b710-f3bb-4c49-9fa5-724cd4ecfc7d","Freshwater pelagic invertebrates ecological collection NTNU University Museum","fieldNotesEvent",FALSE
"c5fe763f-6851-4610-bdc3-67143540be67","Effects of vegetation clearing and dead wood on beetles in power line clearings southeast Norway","fieldNotesEvent",FALSE
